"There have been %s0 comments%s","Es gibt %s0 Kommentare%s. "
"There have been %s%s comment(s)%s","Es gibt %s%s Kommentar(e)%s. "
"Posted on %s by %s","Veröffentlicht am %s von %s. "
"This post was posted in","Veröffentlicht in"
"and was tagged with","Tags:"
"Recent Posts","Aktuelle Posts"
"Posted on %s at %s","Veröffentlicht am %s um %s"
"Posts by '%s'","Posts von '%s'"
"says","kommentiert"
"Post your comment","Kommentar abschicken"
"Response to %s","Antwort auf %s"
"Comments","Kommentare"
"Name","Name"
"Email","E-Mail"
"Website","Website"
"Comment","Kommentar"
"Home","Startseite"
"Archives","Archiv"
"Categories","Kategorien"
"Blog Search","Blog Suche"

"January","Jänner"
"February","Februar"
"March","März"
"April","April"
"May","Mai"
"June","Juni"
"July","Juli"
"August","August"
"September","September"
"October","Oktober"
"November","November"
"December","Dezember"

"Monday","Montag"
"Tuesday","Dienstag"
"Wednesday","Mittwoch"
"Thursday","Donnerstag"
"Friday","Freitag"
"Saturday","Samstag"
"Sunday","Sonntag"

"Next","Weiter"
"Previous","Zurück"

