"Customer Groups Catalog","Customer Groups Catalog"
"Disable CustomerGroups Extension","Erweiterung deaktivieren"
"Hide from customer groups","Verstecke vor Kundengruppen"
"Default: hide products from customer groups","Verstecke Produkte vor Kundengruppen"
"Default: hide categories from customer groups","Verstecke Kategorien vor Kundengruppen"
"Please contact our staff to see all our products.","Bitte kontaktieren Sie uns um unser gesamtes Produktangebot zu sehen."
"Please contact our staff to see our complete catalog.","Bitte kontaktieren Sie uns um unseren gesamten Katalog zu sehen."
"NONE","KEINER"
"USE DEFAULT","STANDARD BENUTZEN"
"The USE DEFAULT selection was ignored because you also selected other customer groups.","Die STANDARD BENUTZEN Selektion wurde ignoriert da noch weitere Kundengruppen ausgewählt wurden."
"Customer groups besides NONE where removed from the selection.","Kundengruppen außer KEINE wurden ignoriert."
"Products visible to the customer group %s","Sichtbare Produkte für die Kundengruppe %s"
"Visible Products","Sichtbare Produkte"
"Redirect target","Umleitungs-Ziel"
"(module/controller/action)","(Modul/Controller/Aktion)"
"Message to display","Nachricht"
"Use {{sku}} or {{name}} for placeholders<br/>Leave empty to disable message","Mögliche Platzhalter: {{sku}} oder {{name}}"
"Display 404 Error","Zeige 404 Fehler"
"Redirect","Umleitung"
"When a hidden product is visited","Verhalten wenn ein verstecktes Produkt geladen wird"
"Grow DB Field Size if required","Länge des DB Feldes wenn nötig vergrößern."
"Requires MySQL 5.0.3 or later<br/>Enable if you use more then 22 customer groups with complex permissions","Benötigt MySQL 5.0.3 oder neuer<br/>Aktivieren bei mehr als 22 Kundengruppen und komplexen Berechtigungen"


