"My Invitations", "My Invitation"
"Invitation", "Invitation"
"Connect & Share", "Connect & Share"
"With friends on Facebook, Twitter, or Google.", "With friends on Facebook, Twitter, or Google."
"Share With Facebook", "Share With Facebook"
"Share With Twitter", "Share With Twitter"
"Share With Delicious", "Share With Delicious"
"Share With Digg", "Share With Digg"
"Share With Furl", "Share With Furl"
"Share With Stumbleupon", "Share With Stumbleupon"
"Share With Technorati", "Share With Technorati"
"Referrer Link", "Referrer Link"
"Copy + paste your personal link into your blog, email or IM.", "Copy + paste your personal link into your blog, email or IM."
"Invite Friends Via Email", "Invite Friends Via Email"
"Send invitation emails to your friends and family", "Send invitation emails to your friends and family"
"Email of your friends", "Email of your friends"
"Separate with commas (,)", "Separate with commas (,)"
"Message", "Message"
"Send", "Send"
"* Required Fields", "* Required Fields"
