//Admin Menu
"Manage Reward Points","Manage Reward Points"
"Configuration","Configuration"

//Manage Reward Points
"Import Reward Points","Import Reward Points"
"ID","ID"
"Email","Email"
"Reward Points","Reward Points"
"Points","Points"

//Reward Points tab on Edit customer page
"Reward Points Information","Reward Points Information"
"Change Reward Points Of Customer","Change Reward Points Of Customer"
"Amount","Amount"
"Action","Action"
"Subtraction","Subtraction"
"Addition","Addition"
"Comment","Comment"
"Balance","Balance"
"Transaction Details","Transaction Details"
"No Transaction Found","No Transaction Found"
"Transaction Time","Transaction Time"
"Status","Status"
"Pending","Pending"
"Complete","Complete"
"Not Complete","Uncompleted"

//import reward points
"Website","Website"
"CSV File","CSV File"
"Import","Import"
"You have some error while import points:","Some errors occur while importing points"
"At rows %s reward points must be numeric","At rows %s reward points must be numeric"
"At rows %s customer is not avaiable","At rows %s customer is not available"
"Your file was imported successfuly","File was imported successfully"
"You haven't selected import file yet","Please select a file to import!"

//reward points configuration
"General","General"
"Enable Reward Points","Enable Reward Points Pro"
"Restrict Other Promotions","Restrict Other Promotions"
"Point/Money Rate","Point/Currency Exchange Rate"
"Points/Credits Rate","Points/Credits Rate"
"Format x/y (x points / y monetary units)","Format x/y (x : points / y : monetary unit)"
"Earned Reward Point For Registering","Earning points for registration"
"Earned Reward Point When Friends Click Referal Link","Earning points for referee click on referral link"
"Earned Reward Point From Friend's Registering","Earning points for referee's registration"
"Earned Reward Point From Friend's First Purchase","Earning points for referee purchase first order"
"Format x (points) or x/y (earn x points each y monetary units in grand total)","Format x (fixed number of points) or x/y (earning x points for every y monetary units of total order value)"
"Earned Reward Point From Friend's Next Purchase","Earned points for referee purchase next order"
"Format x (points) or x/y (earn x points each y monetary units in grand total)","Format x (fixed number of points) or x/y (earning x points for every y monetary units of total order value)"
"Earned Reward Point For Submiting Review","Earning points for reviewing product"
"Earned Reward Point For Submiting Poll","Earning points for submitting Poll"
"Earned Reward Point For Order","Earning points for purchasing order"
"Format x (points) or x/y (earn x points each y monetary units in grand total)","Format x (fixed number of points) or x/y (earning x points for every y monetary units of total order value)"
"Allow Reward Points For Products","Allow earning points for buying products"
"Max Point To Checkout","Maximum number of points to checkout"
