"Customer Groups Catalog","Catalogue des Groupes de Clients"
"Disable CustomerGroups Extension","Désactiver l'extension CustomerGroups"
"Hide from customer groups","Cacher dans les groupes de clients"
"Default: hide products from customer groups","Cacher les produits dans les groupes de clients"
"Default: hide categories from customer groups","Cacher les catégories dans les groupes de clients"
"Please contact our staff to see all our products.","Merci de nous contacter pour voir tous nos produits."
"Please contact our staff to see our complete catalog.","Merci de nous contacter pour voir notre catalogue complet."
"NONE","AUCUN"
"USE DEFAULT","DEFAULT REQUIS"
"The USE DEFAULT selection was ignored because you also selected other customer groups.","La sélection DEFAULT REQUIS a été ignorée car vous avez aussi sélectionné d'autres groupes de clients."
"Customer groups besides NONE where removed from the selection.","Les groupes de clients en dehors de AUCUN ont été retirés de la sélection."
